fname,fx,run,budget_factor,budget,algname,fid,iid,dim
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.0876698488,1,100,1000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.8874468854,1,500,5000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6977406528,1,1000,10000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1084304713,1,5000,50000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,0.9869970122,1,10000,100000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,4.1904246238,2,10,100,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.7391017544,2,50,500,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.7365140173,2,100,1000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6976843852,2,500,5000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6976843852,2,1000,10000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1844023912,2,5000,50000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.1844023912,2,10000,100000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,336.801528646,3,10,100,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.3657452616,3,50,500,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0763800304,3,100,1000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0462409132,3,500,5000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0462409132,3,1000,10000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0462409132,3,5000,50000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.0462409132,3,10000,100000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,5.3125840366,4,10,100,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.4044751106,4,50,500,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,2.4044751106,4,100,1000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6976487743,4,500,5000,modcma_bipop,20,4,10
Data/Baselines\modcma_bipop_F20_I4_10D\data_f20_Schwefel\IOHprofiler_f20_DIM10.dat,1.6385435098,4,1000,10000,modcma_bipop,20,4,10
